[a, b, c, d]
[a, b, c, e]
[a, b, c, f]
[a, b, d, c]
[a, b, d, e]
[a, b, d, f]
[a, b, e, c]
[a, b, e, d]
[a, b, e, f]
[a, b, f, c]
[a, b, f, d]
[a, b, f, e]
[a, c, b, d]
[a, c, b, e]
[a, c, b, f]
[a, c, d, b]
[a, c, d, e]
[a, c, d, f]
[a, c, e, b]
[a, c, e, d]
[a, c, e, f]
[a, c, f, b]
[a, c, f, d]
[a, c, f, e]
[a, d, b, c]
[a, d, b, e]
[a, d, b, f]
[a, d, c, b]
[a, d, c, e]
[a, d, c, f]
[a, d, e, b]
[a, d, e, c]
[a, d, e, f]
[a, d, f, b]
[a, d, f, c]
[a, d, f, e]
[a, e, b, c]
[a, e, b, d]
[a, e, b, f]
[a, e, c, b]
[a, e, c, d]
[a, e, c, f]
[a, e, d, b]
[a, e, d, c]
[a, e, d, f]
[a, e, f, b]
[a, e, f, c]
[a, e, f, d]
[a, f, b, c]
[a, f, b, d]
[a, f, b, e]
[a, f, c, b]
[a, f, c, d]
[a, f, c, e]
[a, f, d, b]
[a, f, d, c]
[a, f, d, e]
[a, f, e, b]
[a, f, e, c]
[a, f, e, d]
[b, a, c, d]
[b, a, c, e]
[b, a, c, f]
[b, a, d, c]
[b, a, d, e]
[b, a, d, f]
[b, a, e, c]
[b, a, e, d]
[b, a, e, f]
[b, a, f, c]
[b, a, f, d]
[b, a, f, e]
[b, c, a, d]
[b, c, a, e]
[b, c, a, f]
[b, c, d, a]
[b, c, d, e]
[b, c, d, f]
[b, c, e, a]
[b, c, e, d]
[b, c, e, f]
[b, c, f, a]
[b, c, f, d]
[b, c, f, e]
[b, d, a, c]
[b, d, a, e]
[b, d, a, f]
[b, d, c, a]
[b, d, c, e]
[b, d, c, f]
[b, d, e, a]
[b, d, e, c]
[b, d, e, f]
[b, d, f, a]
[b, d, f, c]
[b, d, f, e]
[b, e, a, c]
[b, e, a, d]
[b, e, a, f]
[b, e, c, a]
[b, e, c, d]
[b, e, c, f]
[b, e, d, a]
[b, e, d, c]
[b, e, d, f]
[b, e, f, a]
[b, e, f, c]
[b, e, f, d]
[b, f, a, c]
[b, f, a, d]
[b, f, a, e]
[b, f, c, a]
[b, f, c, d]
[b, f, c, e]
[b, f, d, a]
[b, f, d, c]
[b, f, d, e]
[b, f, e, a]
[b, f, e, c]
[b, f, e, d]
[c, a, b, d]
[c, a, b, e]
[c, a, b, f]
[c, a, d, b]
[c, a, d, e]
[c, a, d, f]
[c, a, e, b]
[c, a, e, d]
[c, a, e, f]
[c, a, f, b]
[c, a, f, d]
[c, a, f, e]
[c, b, a, d]
[c, b, a, e]
[c, b, a, f]
[c, b, d, a]
[c, b, d, e]
[c, b, d, f]
[c, b, e, a]
[c, b, e, d]
[c, b, e, f]
[c, b, f, a]
[c, b, f, d]
[c, b, f, e]
[c, d, a, b]
[c, d, a, e]
[c, d, a, f]
[c, d, b, a]
[c, d, b, e]
[c, d, b, f]
[c, d, e, a]
[c, d, e, b]
[c, d, e, f]
[c, d, f, a]
[c, d, f, b]
[c, d, f, e]
[c, e, a, b]
[c, e, a, d]
[c, e, a, f]
[c, e, b, a]
[c, e, b, d]
[c, e, b, f]
[c, e, d, a]
[c, e, d, b]
[c, e, d, f]
[c, e, f, a]
[c, e, f, b]
[c, e, f, d]
[c, f, a, b]
[c, f, a, d]
[c, f, a, e]
[c, f, b, a]
[c, f, b, d]
[c, f, b, e]
[c, f, d, a]
